County Name,City,Hospital Name,Patient Survey Star Rating
ORANGE,FOUNTAIN VALLEY,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,2.0
ORANGE,FULLERTON,ST JUDE MEDICAL CENTER,4.0
ORANGE,GARDEN GROVE,GARDEN GROVE HOSPITAL & MEDICAL CENTER,3.0
ORANGE,HUNTINGTON BEACH,HUNTINGTON BEACH HOSPITAL,1.0
ORANGE,IRVINE,HOAG ORTHOPEDIC INSTITUTE,5.0
ORANGE,LA PALMA,LA PALMA INTERCOMMUNITY HOSPITAL,2.0
ORANGE,LAGUNA HILLS,MEMORIALCARE SADDLEBACK MEDICAL CENTER,4.0
ORANGE,LOS ALAMITOS,LOS ALAMITOS MEDICAL CENTER,3.0
ORANGE,MISSION VIEJO,MISSION HOSPITAL REGIONAL MED CENTER,4.0
ORANGE,NEWPORT BEACH,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,4.0
ORANGE,ORANGE,ST JOSEPH HOSPITAL,4.0
ORANGE,ORANGE,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER,4.0
ORANGE,ORANGE,CHAPMAN GLOBAL MEDICAL CENTER,2.0
ORANGE,PLACENTIA,PLACENTIA LINDA HOSPITAL,3.0
ORANGE,SANTA ANA,ORANGE COUNTY GLOBAL MEDICAL CENTER,3.0
ORANGE,SANTA ANA,SOUTH COAST GLOBAL MEDICAL CENTER,2.0
ORANGE,TUSTIN,FOOTHILL REGIONAL MEDICAL CENTER,1.0
OTERO,LA JUNTA,ARKANSAS VALLEY REGIONAL MEDICAL CENTER,3.0
OUACHITA,CAMDEN,OUACHITA COUNTY MEDICAL CENTER,4.0
PHILLIPS,HELENA,HELENA REGIONAL MEDICAL CENTER,3.0
PIKE,TROY,TROY REGIONAL MEDICAL CENTER,3.0
PIMA,GREEN VALLEY,SANTA CRUZ VALLEY REGIONAL HOSPITAL,2.0
PIMA,ORO VALLEY,ORO VALLEY HOSPITAL,4.0
PIMA,TUCSON,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,3.0
PIMA,TUCSON,NORTHWEST MEDICAL CENTER,3.0
PIMA,TUCSON,ST JOSEPH'S HOSPITAL,3.0
PIMA,TUCSON,ST. MARY'S HOSPITAL,3.0
PIMA,TUCSON,TUCSON MEDICAL CENTER,3.0
PIMA,TUCSON,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,2.0
PINAL,APACHE JUNCTION,BANNER GOLDFIELD MEDICAL CENTER,4.0
PINAL,CASA GRANDE,BANNER CASA GRANDE MEDICAL CENTER,3.0
PINAL,QUEEN CREEK,BANNER IRONWOOD MEDICAL CENTER,4.0
PITKIN,ASPEN,ASPEN VALLEY HOSPITAL,5.0
PLACER,AUBURN,SUTTER AUBURN FAITH HOSPITAL,4.0
PLACER,ROSEVILLE,KAISER FOUNDATION HOSPITAL - ROSEVILLE,4.0
PLACER,ROSEVILLE,SUTTER ROSEVILLE MEDICAL CENTER,4.0
POPE,RUSSELLVILLE,ST MARYS REGIONAL MEDICAL CENTER,2.0
PUEBLO,PUEBLO,"PARKVIEW MEDICAL CENTER, INC",4.0
PUEBLO,PUEBLO,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,3.0
PULASKI,JACKSONVILLE,NORTH METRO MEDICAL CENTER,1.0
PULASKI,LITTLE ROCK,"ARKANSAS HEART HOSPITAL, LLC",5.0
PULASKI,LITTLE ROCK,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,4.0
PULASKI,LITTLE ROCK,UAMS MEDICAL CENTER,4.0
PULASKI,LITTLE ROCK,CHI-ST VINCENT INFIRMARY,3.0
PULASKI,NO LITTLE ROCK,ARKANSAS SURGICAL HOSPITAL,5.0
PULASKI,NORTH LITTLE ROCK,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,4.0
PULASKI,SHERWOOD,ST VINCENT MEDICAL CENTER/NORTH,3.0
RANDOLPH,POCAHONTAS,FIVE RIVERS MEDICAL CENTER,4.0
RIVERSIDE,BANNING,SAN GORGONIO MEMORIAL HOSPITAL,3.0
RIVERSIDE,CORONA,CORONA REGIONAL MEDICAL CENTER,2.0
RIVERSIDE,HEMET,HEMET VALLEY MEDICAL CENTER,1.0
RIVERSIDE,INDIO,JOHN F KENNEDY MEMORIAL HOSPITAL,3.0
RIVERSIDE,MORENO VALLEY,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,3.0
RIVERSIDE,MORENO VALLEY,RIVERSIDE UNIVERSITY HEALTH SYSTEM-MEDICAL CENTER,2.0
RIVERSIDE,MURRIETA,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,4.0
RIVERSIDE,MURRIETA,SOUTHWEST HEALTHCARE SYSTEM,3.0
RIVERSIDE,PALM SPRINGS,DESERT REGIONAL MEDICAL CENTER,3.0
RIVERSIDE,RANCHO MIRAGE,EISENHOWER MEDICAL CENTER,4.0
RIVERSIDE,RIVERSIDE,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",4.0
RIVERSIDE,RIVERSIDE,RIVERSIDE COMMUNITY HOSPITAL,3.0
RIVERSIDE,RIVERSIDE,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,2.0
RIVERSIDE,SUN CITY,MENIFEE VALLEY MEDICAL CENTER,1.0
RIVERSIDE,TEMECULA,TEMECULA VALLEY HOSPITAL,4.0
ROUTT,STEAMBOAT SPRINGS,UCHEALTH YAMPA VALLEY MEDICAL CENTER,5.0
RUSSELL,PHENIX CITY,JACK HUGHSTON MEMORIAL HOSPITAL,5.0
SACRAMENTO,CARMICHAEL,MERCY SAN JUAN MEDICAL CENTER,3.0
SACRAMENTO,FOLSOM,MERCY HOSPITAL OF FOLSOM,4.0
SACRAMENTO,SACRAMENTO,KAISER FOUNDATION HOSP SO SACRAMENTO,4.0
SACRAMENTO,SACRAMENTO,MERCY GENERAL HOSPITAL,4.0
SACRAMENTO,SACRAMENTO,"SUTTER MEDICAL CENTER, SACRAMENTO",4.0
SACRAMENTO,SACRAMENTO,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,4.0
SACRAMENTO,SACRAMENTO,KAISER FOUNDATION HOSPITAL - SACRAMENTO,3.0
SACRAMENTO,SACRAMENTO,METHODIST HOSPITAL OF SACRAMENTO,3.0
SALINE,BENTON,SALINE MEMORIAL HOSPITAL,3.0
SAN BENITO,HOLLISTER,HAZEL HAWKINS MEMORIAL HOSPITAL,4.0
SAN BERNARDINO,APPLE VALLEY,ST MARY MEDICAL CENTER,2.0
SAN BERNARDINO,BARSTOW,BARSTOW COMMUNITY HOSPITAL,3.0
SAN BERNARDINO,CHINO,CHINO VALLEY MEDICAL CENTER,3.0
SAN BERNARDINO,COLTON,ARROWHEAD REGIONAL MEDICAL CENTER,3.0
SAN BERNARDINO,FONTANA,KAISER FOUNDATION HOSPITAL FONTANA,4.0
SAN BERNARDINO,JOSHUA TREE,HI-DESERT MEDICAL CENTER,3.0
SAN BERNARDINO,LOMA LINDA,LOMA LINDA UNIVERSITY MEDICAL CENTER,4.0
SAN BERNARDINO,LOMA LINDA,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,3.0
SAN BERNARDINO,MONTCLAIR,MONTCLAIR HOSPITAL MEDICAL CENTER,3.0
SAN BERNARDINO,REDLANDS,REDLANDS COMMUNITY HOSPITAL,4.0
SAN BERNARDINO,SAN BERNARDINO,COMMUNITY HOSPITAL OF SAN BERNARDINO,3.0
SAN BERNARDINO,SAN BERNARDINO,ST BERNARDINE MEDICAL CENTER,3.0
SAN BERNARDINO,UPLAND,SAN ANTONIO REGIONAL HOSPITAL,4.0
SAN BERNARDINO,VICTORVILLE,DESERT VALLEY HOSPITAL,3.0
SAN BERNARDINO,VICTORVILLE,VICTOR VALLEY GLOBAL MEDICAL CENTER,1.0
SAN DIEGO,CHULA VISTA,SHARP CHULA VISTA MEDICAL CENTER,3.0
SAN DIEGO,CORONADO,SHARP CORONADO HOSPITAL AND HLTHCR CTR,4.0
SAN DIEGO,ENCINITAS,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,3.0
SAN DIEGO,ESCONDIDO,PALOMAR HEALTH DOWNTOWN CAMPUS,4.0
SAN DIEGO,LA JOLLA,SCRIPPS GREEN HOSPITAL,4.0
SAN DIEGO,LA JOLLA,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,4.0
SAN DIEGO,LA MESA,GROSSMONT HOSPITAL,3.0
SAN DIEGO,NATIONAL CITY,PARADISE VALLEY HOSPITAL,2.0
SAN DIEGO,OCEANSIDE,TRI-CITY MEDICAL CENTER,2.0
SAN DIEGO,POWAY,POMERADO HOSPITAL,3.0
SAN DIEGO,SAN DIEGO,SHARP MEMORIAL HOSPITAL,5.0
SAN DIEGO,SAN DIEGO,KAISER FOUNDATION HOSPITAL - ZION,4.0
SAN DIEGO,SAN DIEGO,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,4.0
SAN DIEGO,SAN DIEGO,SCRIPPS MERCY HOSPITAL,3.0
SAN DIEGO,SAN DIEGO,ALVARADO HOSPITAL MEDICAL CENTER,2.0
SAN FRANCISCO,SAN FRANCISCO,UCSF MEDICAL CENTER,5.0
SAN FRANCISCO,SAN FRANCISCO,CHINESE HOSPITAL,4.0
SAN FRANCISCO,SAN FRANCISCO,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,4.0
SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,3.0
SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,3.0
SAN FRANCISCO,SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,3.0
SAN FRANCISCO,SAN FRANCISCO,SAINT FRANCIS MEMORIAL HOSPITAL,3.0
SAN FRANCISCO,SAN FRANCISCO,ST MARY'S MEDICAL CENTER,3.0
SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,2.0
SAN JOAQUIN,FRENCH CAMP,SAN JOAQUIN GENERAL HOSPITAL,2.0
SAN JOAQUIN,LODI,ADVENTIST HEALTH LODI MEMORIAL,3.0
SAN JOAQUIN,MANTECA,KAISER FOUNDATION HOSPITAL MANTECA,4.0
SAN JOAQUIN,MANTECA,DOCTORS HOSPITAL OF MANTECA,3.0
SAN JOAQUIN,STOCKTON,DAMERON HOSPITAL,3.0
SAN JOAQUIN,STOCKTON,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,3.0
SAN JOAQUIN,TRACY,SUTTER TRACY COMMUNITY HOSPITAL,4.0
SAN LUIS OBISPO,SAN LUIS OBISPO,FRENCH HOSPITAL MEDICAL CENTER,4.0
SAN LUIS OBISPO,SAN LUIS OBISPO,SIERRA VISTA REGIONAL MEDICAL CENTER,3.0
SAN LUIS OBISPO,TEMPLETON,TWIN CITIES COMMUNITY HOSPITAL,3.0
SAN MATEO,BURLINGAME,MILLS-PENINSULA MEDICAL CENTER,4.0
SAN MATEO,DALY CITY,SETON MEDICAL CENTER,3.0
SAN MATEO,MENLO PARK,MENLO PARK SURGICAL HOSPITAL,5.0
SAN MATEO,REDWOOD CITY,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,4.0
SAN MATEO,REDWOOD CITY,SEQUOIA HOSPITAL,4.0
SAN MATEO,SAN MATEO,SAN MATEO MEDICAL CENTER,3.0
SAN MATEO,SOUTH SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,4.0
SANTA BARBARA,LOMPOC,LOMPOC VALLEY MEDICAL CENTER,2.0
SANTA BARBARA,SANTA BARBARA,GOLETA VALLEY COTTAGE HOSPITAL,5.0
SANTA BARBARA,SANTA BARBARA,SANTA BARBARA COTTAGE HOSPITAL,5.0
SANTA BARBARA,SANTA MARIA,MARIAN REGIONAL MEDICAL CENTER,4.0
SANTA CLARA,GILROY,ST LOUISE REGIONAL HOSPITAL,3.0
SANTA CLARA,MOUNTAIN VIEW,EL CAMINO HOSPITAL,4.0
SANTA CLARA,SAN JOSE,GOOD SAMARITAN HOSPITAL,3.0
SANTA CLARA,SAN JOSE,KAISER FOUNDATION HOSPITAL-SAN JOSE,3.0
SANTA CLARA,SAN JOSE,O'CONNOR HOSPITAL,3.0
SANTA CLARA,SAN JOSE,REGIONAL MEDICAL CENTER OF SAN JOSE,3.0
SANTA CLARA,SAN JOSE,SANTA CLARA VALLEY MEDICAL CENTER,2.0
SANTA CLARA,SANTA CLARA,KAISER FOUNDATION HOSPITAL-SANTA CLARA,4.0
SANTA CLARA,STANFORD,STANFORD HEALTH CARE,4.0
SANTA CRUZ,NOGALES,HOLY CROSS HOSPITAL,3.0
SANTA CRUZ,SANTA CRUZ,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,5.0
SANTA CRUZ,SANTA CRUZ,DOMINICAN HOSPITAL,3.0
SANTA CRUZ,WATSONVILLE,WATSONVILLE COMMUNITY HOSPITAL,3.0
SEBASTIAN,FORT SMITH,MERCY HOSPITAL FORT SMITH,4.0
SEBASTIAN,FORT SMITH,SPARKS REGIONAL MEDICAL CENTER,3.0
SHASTA,REDDING,MERCY MEDICAL CENTER REDDING,3.0
SHASTA,REDDING,SHASTA REGIONAL MEDICAL CENTER,3.0
SHELBY,ALABASTER,SHELBY BAPTIST MEDICAL CENTER,3.0
SISKIYOU,MOUNT SHASTA,MERCY MEDICAL CENTER MT SHASTA,4.0
SISKIYOU,YREKA,FAIRCHILD MEDICAL CENTER,3.0
SOLANO,FAIRFIELD,NORTHBAY MEDICAL CENTER,3.0
SOLANO,VACAVILLE,KAISER FOUNDATION HOSPITAL - VACAVILLE,4.0
SOLANO,VALLEJO,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,4.0
SOLANO,VALLEJO,SUTTER SOLANO MEDICAL CENTER,3.0
SONOMA,HEALDSBURG,HEALDSBURG DISTRICT HOSPITAL,4.0
SONOMA,PETALUMA,PETALUMA VALLEY HOSPITAL,3.0
SONOMA,SANTA ROSA,KAISER FOUNDATION HOSPITAL-SANTA ROSA,4.0
SONOMA,SANTA ROSA,SUTTER SANTA ROSA REGIONAL HOSPITAL,4.0
SONOMA,SANTA ROSA,SANTA ROSA MEMORIAL HOSPITAL,3.0
SONOMA,SONOMA,SONOMA VALLEY HOSPITAL,3.0
ST. CLAIR,PELL CITY,ST VINCENT'S ST CLAIR,4.0
ST. FRANCIS,FORREST CITY,FORREST CITY MEDICAL CENTER,3.0
STANISLAUS,MODESTO,STANISLAUS SURGICAL HOSPITAL,5.0
STANISLAUS,MODESTO,DOCTORS MEDICAL CENTER,3.0
STANISLAUS,MODESTO,MEMORIAL MEDICAL CENTER,3.0
STANISLAUS,OAKDALE,OAK VALLEY HOSPITAL DISTRICT,4.0
STANISLAUS,TURLOCK,EMANUEL MEDICAL CENTER,3.0
SUMMIT,FRISCO,ST ANTHONY SUMMIT MEDICAL CENTER,5.0
SUTTER,YUBA CITY,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,5.0
TALLADEGA,SYLACAUGA,COOSA VALLEY MEDICAL CENTER,3.0
TALLADEGA,TALLADEGA,CITIZENS BAPTIST MEDICAL CENTER,4.0
TALLAPOOSA,ALEXANDER CITY,RUSSELL MEDICAL CENTER,4.0
TALLAPOOSA,DADEVILLE,LAKE MARTIN COMMUNITY HOSPITAL,3.0
TEHAMA,RED BLUFF,ST ELIZABETH COMMUNITY HOSPITAL,3.0
TOLLAND,ROCKVILLE,ROCKVILLE GENERAL HOSPITAL,2.0
TOLLAND,STAFFORD SPRINGS,JOHNSON MEMORIAL HOSPITAL,4.0
TULARE,PORTERVILLE,SIERRA VIEW MEDICAL CENTER,3.0
TULARE,VISALIA,KAWEAH DELTA MEDICAL CENTER,3.0
TUOLUMNE,SONORA,ADVENTIST HEALTH SONORA,3.0
TUSCALOOSA,TUSCALOOSA,D C H REGIONAL MEDICAL CENTER,3.0
UNION,EL DORADO,MEDICAL CENTER OF SOUTH ARKANSAS,3.0
VENTURA,CAMARILLO,ST JOHNS PLEASANT VALLEY HOSPITAL,3.0
VENTURA,OJAI,OJAI VALLEY COMMUNITY HOSPITAL,5.0
VENTURA,OXNARD,ST JOHNS REGIONAL MEDICAL CENTER,3.0
VENTURA,SIMI VALLEY,ADVENTIST HEALTH SIMI VALLEY,3.0
VENTURA,THOUSAND OAKS,LOS ROBLES HOSPITAL & MEDICAL CENTER,3.0
VENTURA,VENTURA,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,3.0
VENTURA,VENTURA,VENTURA COUNTY MEDICAL CENTER,3.0
WALKER,JASPER,WALKER BAPTIST MEDICAL CENTER,3.0
WASHINGTON,FAYETTEVILLE,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,4.0
WASHINGTON,FAYETTEVILLE,WASHINGTON REGIONAL MEDICAL CENTER,4.0
WASHINGTON,SPRINGDALE,NORTHWEST MEDICAL CENTER-SPRINGDALE,3.0
WELD,GREELEY,NORTH COLORADO MEDICAL CENTER,3.0
WHITE,SEARCY,WHITE COUNTY MEDICAL CENTER,3.0
WINDHAM,PUTNAM,DAY KIMBALL HOSPITAL,3.0
WINSTON,HALEYVILLE,LAKELAND COMMUNITY HOSPITAL,4.0
YAVAPAI,COTTONWOOD,VERDE VALLEY MEDICAL CENTER,3.0
YAVAPAI,PRESCOTT,YAVAPAI REGIONAL MEDICAL CENTER,4.0
YELL,DANVILLE,CHAMBERS MEMORIAL HOSPITAL,4.0
YOLO,DAVIS,SUTTER DAVIS HOSPITAL,5.0
YOLO,WOODLAND,WOODLAND MEMORIAL HOSPITAL,4.0
YUBA,MARYSVILLE,RIDEOUT MEMORIAL HOSPITAL,1.0
YUMA,YUMA,YUMA REGIONAL MEDICAL CENTER,3.0
